2	6.277350562142857E7
3	4.6132053157142855E7
4	8689326.92142857
5	3.060670407142857E7
6	2.46182803E7
7	7658620.114285714
8	2.4371685235714287E7
9	2.327213609285714E7
10	1734300.2714285713
11	2.273405812857143E7
12	1662502.0214285713
13	2032559.0714285714
14	1160113.4785714287
15	1261797.9714285715
16	859237.1642857143
17	727696.4571428571
18	835732.4142857143
19	617753.5571428571
20	904765.6714285715
21	1770236.592857143
22	1118021.0
23	4257470.107142857
24	3545967.1
25	727838.7214285714
26	644990.3571428572
27	752411.0928571429
2	6.015796810714286E7
3	6.757403052142857E7
4	1.0240932885714285E7
5	2.4617402985714287E7
6	3205982.6785714286
7	3.250890032142857E7
8	2228821.1428571427
9	2.3454471114285715E7
10	2.2941834135714285E7
11	2.3285422292857144E7
12	3121835.25
13	2185531.285714286
14	2.310018442857143E7
15	1324135.1928571428
16	933112.3714285714
17	1107248.7357142856
18	1042776.3428571429
19	1543480.857142857
20	909027.5142857142
21	1343595.1928571428
22	1162791.1785714286
23	759800.3285714285
24	889396.9714285714
25	654808.5357142857
26	1056793.6357142858
27	659127.0142857142
